team,round,result_match,championship_score,home_team,goals_conceded,goals_scored,ag_scored,ag_conceded,wcg,clube_nome
285.0,15,1,20,0,16,13,0.8666666666666667,1.0666666666666667,7,Internacional
316.0,15,0,16,0,19,11,0.7333333333333333,1.2666666666666666,2,Figueirense
275.0,16,0,28,1,12,27,1.6875,0.75,7,Palmeiras
315.0,16,1,23,0,14,13,0.8125,0.875,6,Chapecoense
266.0,16,3,30,1,15,19,1.1875,0.9375,8,Fluminense
276.0,16,0,27,0,14,17,1.0625,0.875,7,São Paulo
283.0,16,1,18,0,13,12,0.75,0.8125,4,Cruzeiro
293.0,16,3,28,0,17,17,1.0625,1.0625,6,Atlético-PR
292.0,16,1,29,1,15,25,1.5625,0.9375,6,Sport
267.0,16,0,12,0,26,8,0.5,1.625,4,Vasco
284.0,16,0,27,0,16,17,1.0625,1.0,4,Grêmio
314.0,16,0,17,0,24,15,0.9375,1.5,1,Avaí
294.0,16,1,12,1,19,8,0.5,1.1875,5,Coritiba
290.0,16,1,14,0,16,12,0.75,1.0,5,Goiás
264.0,16,3,33,1,9,17,1.0625,0.5625,10,Corinthians
262.0,16,1,20,1,21,13,0.8125,1.3125,5,Flamengo
277.0,16,1,17,0,22,17,1.0625,1.375,4,Santos
282.0,16,3,35,1,11,21,1.3125,0.6875,6,Atlético-MG
215.0,16,3,12,1,19,8,0.5,1.1875,4,Joinville
303.0,16,0,19,0,20,12,0.75,1.25,5,Ponte Preta
285.0,16,1,21,1,16,10,0.625,1.0,8,Internacional
316.0,16,3,19,1,20,14,0.875,1.25,2,Figueirense
275.0,17,0,28,0,14,28,1.6470588235294117,0.8235294117647058,7,Palmeiras
315.0,17,1,24,1,16,15,0.8823529411764706,0.9411764705882353,6,Chapecoense
266.0,17,0,30,0,16,19,1.1176470588235294,0.9411764705882353,8,Fluminense
276.0,17,1,28,1,15,18,1.0588235294117647,0.8823529411764706,7,São Paulo
283.0,17,3,21,1,14,14,0.8235294117647058,0.8235294117647058,4,Cruzeiro
293.0,17,1,29,1,18,18,1.0588235294117647,1.0588235294117647,6,Atlético-PR
292.0,17,1,30,0,16,26,1.5294117647058822,0.9411764705882353,6,Sport
267.0,17,1,13,1,26,8,0.47058823529411764,1.5294117647058822,5,Vasco
284.0,17,3,30,1,16,21,1.2352941176470589,0.9411764705882353,5,Grêmio
314.0,17,3,20,1,24,16,0.9411764705882353,1.411764705882353,2,Avaí
294.0,17,0,12,0,22,8,0.47058823529411764,1.2941176470588236,5,Coritiba
290.0,17,1,15,1,16,12,0.7058823529411765,0.9411764705882353,6,Goiás
264.0,17,1,34,0,10,18,1.0588235294117647,0.5882352941176471,10,Corinthians
262.0,17,0,20,0,22,13,0.7647058823529411,1.2941176470588236,5,Flamengo
277.0,17,3,20,1,22,19,1.1176470588235294,1.2941176470588236,5,Santos
282.0,17,1,36,0,11,21,1.2352941176470589,0.6470588235294118,7,Atlético-MG
215.0,17,1,13,0,19,8,0.47058823529411764,1.1176470588235294,5,Joinville
303.0,17,3,22,1,20,13,0.7647058823529411,1.1764705882352942,6,Ponte Preta
285.0,17,0,21,0,21,10,0.5882352941176471,1.2352941176470589,8,Internacional
316.0,17,1,20,0,22,16,0.9411764705882353,1.2941176470588236,2,Figueirense
275.0,18,0,28,0,16,29,1.6111111111111112,0.8888888888888888,7,Palmeiras
315.0,18,1,25,0,16,15,0.8333333333333334,0.8888888888888888,7,Chapecoense
266.0,18,0,30,0,17,19,1.0555555555555556,0.9444444444444444,8,Fluminense
276.0,18,3,31,0,15,20,1.1111111111111112,0.8333333333333334,8,São Paulo
283.0,18,0,21,0,17,14,0.7777777777777778,0.9444444444444444,4,Cruzeiro
293.0,18,0,29,0,21,20,1.1111111111111112,1.1666666666666667,6,Atlético-PR
292.0,18,0,30,0,20,29,1.6111111111111112,1.1111111111111112,6,Sport
267.0,18,0,13,0,27,8,0.4444444444444444,1.5,5,Vasco
284.0,18,3,33,0,16,23,1.2777777777777777,0.8888888888888888,6,Grêmio
314.0,18,0,20,0,26,16,0.8888888888888888,1.4444444444444444,2,Avaí
294.0,18,3,15,1,23,10,0.5555555555555556,1.2777777777777777,5,Coritiba
290.0,18,1,16,1,16,12,0.6666666666666666,0.8888888888888888,7,Goiás
264.0,18,3,37,1,13,21,1.1666666666666667,0.7222222222222222,10,Corinthians
262.0,18,3,23,1,24,16,0.8888888888888888,1.3333333333333333,5,Flamengo
277.0,18,3,23,1,22,20,1.1111111111111112,1.2222222222222223,6,Santos
282.0,18,0,36,1,13,21,1.1666666666666667,0.7222222222222222,7,Atlético-MG
215.0,18,3,16,1,19,11,0.6111111111111112,1.0555555555555556,6,Joinville
303.0,18,3,25,1,20,15,0.8333333333333334,1.1111111111111112,7,Ponte Preta
285.0,18,3,24,1,21,11,0.6111111111111112,1.1666666666666667,9,Internacional
316.0,18,0,20,1,24,16,0.8888888888888888,1.3333333333333333,2,Figueirense
275.0,19,3,31,1,18,32,1.6842105263157894,0.9473684210526315,7,Palmeiras
315.0,19,3,28,1,17,17,0.8947368421052632,0.8947368421052632,7,Chapecoense
266.0,19,3,33,1,18,21,1.105263157894737,0.9473684210526315,8,Fluminense
276.0,19,0,31,1,18,20,1.0526315789473684,0.9473684210526315,8,São Paulo
283.0,19,1,22,1,17,14,0.7368421052631579,0.8947368421052632,5,Cruzeiro
293.0,19,1,30,1,21,20,1.0526315789473684,1.105263157894737,7,Atlético-PR
292.0,19,1,31,1,21,30,1.5789473684210527,1.105263157894737,6,Sport
267.0,19,0,13,1,28,8,0.42105263157894735,1.4736842105263157,5,Vasco
284.0,19,3,36,1,17,25,1.3157894736842106,0.8947368421052632,6,Grêmio
314.0,19,0,20,1,28,17,0.8947368421052632,1.4736842105263157,2,Avaí
294.0,19,3,18,0,23,11,0.5789473684210527,1.2105263157894737,6,Coritiba
290.0,19,3,19,0,16,15,0.7894736842105263,0.8421052631578947,8,Goiás
264.0,19,3,40,0,14,23,1.2105263157894737,0.7368421052631579,10,Corinthians
262.0,19,0,23,0,28,18,0.9473684210526315,1.4736842105263157,5,Flamengo
277.0,19,1,24,0,22,20,1.0526315789473684,1.1578947368421053,7,Santos
282.0,19,0,36,0,15,21,1.105263157894737,0.7894736842105263,7,Atlético-MG
215.0,19,0,16,0,21,12,0.631578947368421,1.105263157894737,6,Joinville
303.0,19,1,26,0,21,16,0.8421052631578947,1.105263157894737,7,Ponte Preta
285.0,19,1,25,0,21,11,0.5789473684210527,1.105263157894737,10,Internacional
316.0,19,0,20,0,26,17,0.8947368421052632,1.368421052631579,2,Figueirense
275.0,20,0,31,0,20,33,1.65,1.0,7,Palmeiras
315.0,20,0,28,0,18,17,0.85,0.9,7,Chapecoense
266.0,20,0,33,0,20,22,1.1,1.0,8,Fluminense
276.0,20,0,31,0,20,20,1.0,1.0,8,São Paulo
283.0,20,0,22,0,20,14,0.7,1.0,5,Cruzeiro
293.0,20,0,30,0,23,20,1.0,1.15,7,Atlético-PR
292.0,20,0,31,0,23,31,1.55,1.15,6,Sport
267.0,20,0,13,0,31,8,0.4,1.55,5,Vasco
284.0,20,1,37,0,17,25,1.25,0.85,7,Grêmio
314.0,20,0,20,0,33,19,0.95,1.65,2,Avaí
294.0,20,3,21,1,23,12,0.6,1.15,7,Coritiba
290.0,20,3,22,1,16,18,0.9,0.8,9,Goiás
264.0,20,3,43,1,14,26,1.3,0.7,11,Corinthians
262.0,20,3,26,1,29,20,1.0,1.45,5,Flamengo
277.0,20,3,27,1,24,25,1.25,1.2,7,Santos
282.0,20,3,39,1,16,24,1.2,0.8,7,Atlético-MG
215.0,20,3,19,1,22,13,0.65,1.1,6,Joinville
303.0,20,1,27,1,21,16,0.8,1.05,8,Ponte Preta
285.0,20,3,28,1,21,13,0.65,1.05,11,Internacional
316.0,20,3,23,1,27,19,0.95,1.35,2,Figueirense
275.0,21,3,34,1,22,36,1.7142857142857142,1.0476190476190477,7,Palmeiras
315.0,21,0,28,1,21,18,0.8571428571428571,1.0,7,Chapecoense
266.0,21,0,33,1,22,23,1.0952380952380953,1.0476190476190477,8,Fluminense
276.0,21,3,34,1,20,23,1.0952380952380953,0.9523809523809523,9,São Paulo
283.0,21,0,22,1,21,14,0.6666666666666666,1.0,5,Cruzeiro
293.0,21,3,33,1,23,23,1.0952380952380953,1.0952380952380953,8,Atlético-PR
292.0,21,0,31,1,24,31,1.4761904761904763,1.1428571428571428,6,Sport
267.0,21,0,13,1,32,8,0.38095238095238093,1.5238095238095237,5,Vasco
284.0,21,1,38,1,17,25,1.1904761904761905,0.8095238095238095,8,Grêmio
314.0,21,3,23,1,33,22,1.0476190476190477,1.5714285714285714,3,Avaí
294.0,21,1,22,0,23,12,0.5714285714285714,1.0952380952380953,8,Coritiba
290.0,21,0,22,0,19,18,0.8571428571428571,0.9047619047619048,9,Goiás
264.0,21,3,46,0,15,29,1.380952380952381,0.7142857142857143,11,Corinthians
262.0,21,3,29,0,29,21,1.0,1.380952380952381,6,Flamengo
277.0,21,3,30,0,24,26,1.2380952380952381,1.1428571428571428,8,Santos
282.0,21,3,42,0,17,26,1.2380952380952381,0.8095238095238095,7,Atlético-MG
215.0,21,0,19,0,25,15,0.7142857142857143,1.1904761904761905,6,Joinville
303.0,21,0,27,0,24,16,0.7619047619047619,1.1428571428571428,8,Ponte Preta
