rodada,atleta_id,clube_id,pontuacao,pontuacao_media,preco,preco_variacao,posicao,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS,participou
31,73721,263,0.0,1.32,3.16,0.0,mei,6.0,11.0,,1.0,,3.0,,,,3.0,2.0,,1.0,,,,,,False
31,73962,276,8.5,4.18,10.69,1.63,lat,10.0,23.0,,,,3.0,1.0,,,22.0,19.0,,3.0,,4.0,,,,True
31,73883,287,0.5,0.07,2.2,0.65,ata,1.0,1.0,,,1.0,1.0,1.0,,,,6.0,,1.0,1.0,,,,,True
31,73896,262,1.7,0.98,4.1,0.5,ata,2.0,12.0,1.0,,4.0,2.0,,1.0,,7.0,10.0,,2.0,,,,,,True
31,73923,217,0.7,1.09,2.7,-0.18,zag,17.0,19.0,,,1.0,6.0,,2.0,,23.0,25.0,,7.0,,1.0,,,,True
31,73974,277,5.0,2.57,8.16,0.98,mei,22.0,31.0,,,,3.0,,,,54.0,31.0,,9.0,,,,,,True
31,73978,217,0.0,2.39,4.54,0.0,zag,11.0,29.0,,,1.0,3.0,,1.0,,32.0,12.0,,3.0,,,,,,False
31,73975,217,0.36,0.06,6.07,-0.58,tec,,,,,,,,,,,,,,,,,,,True
31,73991,287,0.0,3.25,5.06,0.0,zag,1.0,5.0,,,,,,,,7.0,2.0,,1.0,,,,,,False
31,73992,262,0.0,4.87,12.98,0.0,lat,27.0,29.0,2.0,,7.0,6.0,,1.0,,24.0,16.0,,2.0,,13.0,,,,False
31,74074,292,5.0,3.33,4.82,-1.84,lat,19.0,45.0,1.0,,6.0,15.0,3.0,2.0,,17.0,31.0,,5.0,,2.0,,,,True
31,77809,285,0.0,3.28,5.0,0.0,ata,40.0,52.0,,1.0,16.0,15.0,5.0,7.0,,26.0,31.0,,4.0,1.0,,,,,False
31,75372,277,1.6,2.87,8.13,0.35,ata,11.0,15.0,4.0,,2.0,2.0,1.0,4.0,,13.0,16.0,,4.0,,,,,,True
31,74271,265,1.1,2.96,7.71,-1.11,ata,28.0,19.0,,1.0,4.0,10.0,4.0,2.0,,8.0,22.0,,,,,,,,True
31,75295,285,0.0,3.9,11.23,0.0,ata,10.0,4.0,1.0,,3.0,5.0,1.0,2.0,,3.0,9.0,,,,,,,,False
31,74061,263,0.0,8.05,14.65,0.0,gol,,3.0,,,,,,,,,,,,,,7.0,,2.0,False
31,74140,265,1.2,3.91,6.48,-1.6,mei,40.0,45.0,4.0,,14.0,3.0,3.0,3.0,,29.0,16.0,,7.0,,,,,,True
31,77500,263,0.0,3.12,4.23,0.0,zag,1.0,3.0,,,,,,,,5.0,3.0,,,,2.0,,,,False
31,74081,287,0.0,0.72,2.27,0.0,mei,10.0,4.0,,,1.0,1.0,,,,3.0,8.0,,1.0,,,,,,False
31,77959,277,0.0,0.78,4.78,-0.33,ata,5.0,3.0,,,,1.0,,,,6.0,4.0,,,,,,,,True
31,78086,262,-2.0,3.8,3.43,-1.52,gol,2.0,8.0,,,,,,,,,,,1.0,,4.0,8.0,,7.0,True
31,78379,283,0.0,1.7,6.49,0.0,ata,6.0,18.0,1.0,,5.0,6.0,1.0,3.0,1.0,6.0,12.0,,1.0,,,,,,False
31,78077,284,8.9,4.16,7.04,1.45,lat,6.0,12.0,1.0,,1.0,5.0,,1.0,,8.0,4.0,,,,2.0,,,,True
31,78715,284,0.0,0.83,3.67,0.0,mei,21.0,48.0,,,5.0,11.0,,2.0,,22.0,23.0,,9.0,,,,,,False
31,78407,265,0.0,2.08,3.23,0.0,zag,5.0,9.0,,,,1.0,1.0,1.0,,6.0,9.0,,3.0,,2.0,,,,False
31,78415,262,-0.9,4.5,7.55,-2.63,ata,6.0,13.0,2.0,1.0,3.0,11.0,4.0,5.0,,8.0,6.0,,,,,,,,True
31,78248,277,0.0,4.11,5.4,0.0,zag,11.0,29.0,,1.0,6.0,6.0,1.0,1.0,,19.0,27.0,,6.0,,12.0,,,,False
31,78435,262,2.1,5.91,14.97,-2.5,ata,18.0,56.0,4.0,1.0,13.0,18.0,2.0,2.0,,32.0,31.0,,2.0,,,,,,True
31,78478,262,0.9,2.59,4.37,-0.41,mei,7.0,26.0,1.0,,2.0,7.0,1.0,1.0,,29.0,23.0,,2.0,,,,,,True
31,78497,354,0.0,2.74,4.42,0.0,lat,13.0,14.0,,,,,,,,8.0,6.0,,2.0,,5.0,,,,False
31,78445,262,7.9,7.01,15.19,0.71,lat,31.0,98.0,4.0,,5.0,3.0,2.0,1.0,,78.0,31.0,,5.0,,15.0,,,,True
31,78475,354,0.0,0.0,4.0,0.0,ata,,,,,,,,,,,,,,,,,,,False
31,78548,277,0.0,3.18,9.3,0.0,mei,19.0,45.0,,1.0,17.0,14.0,1.0,,,23.0,26.0,,3.0,,,,,,False
31,78605,264,0.0,4.17,12.0,0.0,mei,28.0,43.0,,,2.0,5.0,1.0,,,76.0,43.0,,6.0,,,,,,False
31,78584,265,-1.0,2.3,3.31,-1.4,gol,3.0,8.0,,,,,,,,1.0,2.0,1.0,2.0,1.0,6.0,21.0,1.0,21.0,True
31,78577,354,0.0,2.09,4.61,0.0,mei,9.0,31.0,1.0,,7.0,6.0,,2.0,,20.0,14.0,,1.0,,,,,,False
31,78654,354,0.0,4.28,5.88,0.0,zag,1.0,5.0,,,,,,,,4.0,6.0,,1.0,,6.0,,,,False
31,78850,276,10.7,5.75,13.22,0.93,lat,26.0,88.0,2.0,,12.0,25.0,2.0,1.0,,48.0,39.0,,3.0,,9.0,,,,True
31,78865,285,1.0,3.41,10.47,0.15,mei,26.0,42.0,1.0,,4.0,2.0,1.0,2.0,,85.0,66.0,,9.0,,,,,,True
31,86863,315,0.0,1.37,4.05,0.0,zag,,4.0,,,,1.0,,,,2.0,3.0,,1.0,,1.0,,,,False
31,73540,292,0.0,2.96,8.14,-0.28,ata,44.0,28.0,2.0,,14.0,22.0,2.0,9.0,,13.0,26.0,,,1.0,,,,,True
31,80080,263,6.3,1.91,5.9,0.96,ata,25.0,16.0,,,6.0,6.0,2.0,3.0,,9.0,19.0,,2.0,,,,,,True
31,78855,275,2.8,4.33,8.24,-0.17,mei,21.0,28.0,,1.0,2.0,4.0,1.0,1.0,,64.0,48.0,,4.0,,,,,,True
31,78856,292,3.5,2.3,4.35,0.36,mei,7.0,19.0,,,,2.0,,,,20.0,18.0,,1.0,,,,,,True
31,78851,217,-3.0,1.29,3.19,0.27,gol,4.0,3.0,,,,,,,,,,,2.0,,,29.0,,31.0,True
31,79035,277,0.0,2.91,3.47,0.0,zag,7.0,11.0,,,,2.0,,2.0,,9.0,10.0,,3.0,,4.0,,,,False
31,78968,315,0.8,3.38,7.02,-0.53,ata,35.0,14.0,,2.0,12.0,24.0,6.0,15.0,,18.0,39.0,,4.0,1.0,,,,,True
31,78991,315,0.0,0.0,4.0,0.0,mei,,,,,,,,,,,,,,,,,,,False
31,78894,287,0.0,0.0,2.0,0.0,gol,,,,,,,,,,,,,,,,,,,False
31,79244,287,1.6,3.9,6.32,-0.55,lat,5.0,32.0,1.0,1.0,,1.0,1.0,,,17.0,20.0,,2.0,,2.0,,,,True
31,79042,265,0.0,4.1,10.1,0.0,zag,15.0,38.0,,,5.0,9.0,2.0,2.0,,26.0,25.0,,3.0,,5.0,,,,False
31,79064,217,0.0,1.12,3.99,0.0,mei,1.0,4.0,,,1.0,2.0,1.0,,,2.0,3.0,,3.0,,,,,,False
31,79113,285,4.0,6.76,17.73,0.08,zag,29.0,50.0,2.0,,3.0,4.0,2.0,2.0,,80.0,35.0,,9.0,1.0,13.0,,,,True
31,79336,354,0.0,0.0,2.0,0.0,ata,,,,,,,,,,,,,,,,,,,False
31,79276,315,0.0,1.1,4.32,0.0,zag,4.0,1.0,,,,,,,,6.0,6.0,,,,,,,,False
31,79578,283,0.0,1.05,1.74,0.0,ata,18.0,5.0,,,1.0,10.0,2.0,7.0,,4.0,27.0,,4.0,,,,,,False
31,79553,217,0.8,0.58,3.55,0.11,lat,9.0,45.0,,1.0,3.0,4.0,,,,11.0,25.0,,3.0,1.0,3.0,,,,True
31,79701,283,6.8,2.48,5.9,1.01,mei,21.0,39.0,,,2.0,10.0,,,,39.0,30.0,,4.0,,,,,,True
31,79702,275,7.7,3.28,8.86,1.23,zag,8.0,23.0,1.0,2.0,3.0,4.0,1.0,1.0,,16.0,15.0,,5.0,,6.0,,,,True
31,79887,285,2.2,2.98,8.31,0.44,lat,5.0,48.0,1.0,,1.0,4.0,,,,26.0,18.0,1.0,4.0,,9.0,,,,True
31,80140,217,0.0,2.23,2.38,0.0,mei,26.0,36.0,,1.0,8.0,5.0,,1.0,,13.0,9.0,,1.0,,,,,,False
